adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_half_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,NY Jets Defense,DEF,NYJ,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,New England Defense,DEF,NE,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,New Orleans Defense,DEF,NO,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,New Orleans Defense,DEF,NO,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,New Orleans Defense,DEF,NO,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Philadelphia Defense,DEF,PHI,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Philadelphia Defense,DEF,PHI,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Philadelphia Defense,DEF,PHI,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Philadelphia Defense,DEF,PHI,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Pittsburgh Defense,DEF,PIT,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Pittsburgh Defense,DEF,PIT,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Pittsburgh Defense,DEF,PIT,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Pittsburgh Defense,DEF,PIT,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Pittsburgh Defense,DEF,PIT,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Rondale Moore,WR,FA,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Rondale Moore,WR,FA,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,San Francisco Defense,DEF,SF,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Seattle Defense,DEF,SEA,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Tampa Bay Defense,DEF,TB,no_name_match,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Taysom Hill,QB,FA,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Taysom Hill,QB,FA,no_name_match,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Tennessee Defense,DEF,TEN,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
