projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,5022,13674,Dallas Goedert,TE,TE,PHI,2026,regular,rotowire,18.0,,,,,,,,,,,,53.0,590.0,5.0,,,89.0,115.5,142.0,1785311416417,1785311416417,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5032,13753,Jordan Akins,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410051,1785311410051,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5092,13673,Troy Fumagalli,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415103,1785311415103,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5094,13847,Ryan Izzo,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411282,1785311411282,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5103,13807,Dylan Cantrell,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411284,1785311411284,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5117,13819,Jordan Thomas,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410062,1785311410062,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5133,13675,Tyler Conklin,TE,TE,DET,2026,regular,rotowire,18.0,,,,,,,,,,,,1.0,7.0,,,,0.7,1.2,1.7,1785311421471,1785311421471,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,515,9902,Rob Gronkowski,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420203,1785311420203,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5171,14363,Kevin Rader,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410071,1785311410071,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5196,14640,Ethan Wolf,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415112,1785311415112,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
