batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,coverage
CTRL,CTRL-T2A,TE,2022,0,m_panel_ppr12,2014-2024,11,2012,14,89,0.7834887384070233,3.493176037332559,0.3272343015287291,0.3934065934065934,0.3317702499804855,3.2127346276642306,-2.1296638222886832,-0.0227672917790708,2.9285714285714284,
CTRL,CTRL-T2A,TE,2023,0,m_panel_ppr12,2014-2024,11,2012,17,89,0.7628992880783418,3.7576046559499785,-0.4375649095012279,0.4975490196078431,0.4130379983065978,3.8735957369050986,-2.198997816480559,0.0611453780460701,2.9411764705882355,
CTRL,CTRL-T2A,TE,2024,0,m_panel_ppr12,2014-2024,11,2012,18,86,0.7434719183933073,3.800127637402837,-0.3201037662874345,0.3593185816991832,0.4645822611900796,3.0315350560039067,-1.825960415394188,0.1316021814948344,3.111111111111111,
CTRL,CTRL-T2A,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.712502620677925,4.54979671719319,-0.1582621977859275,,,,,,,
CTRL,CTRL-T2A,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7612490815994518,3.970847352299407,0.518408923190736,0.428921568627451,0.3713323818858835,3.979234803222676,-3.0700938461317304,-0.0386201445395734,3.235294117647059,
CTRL,CTRL-T2A,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.6943911753532362,4.578542891582823,-0.003036037580192,0.6582608695652173,0.6714267103028416,3.006776970445036,-1.6042024252975946,0.6815529137119353,1.875,
CTRL,CTRL-T2A,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.7220434051023501,4.283807006227383,0.4121357203638338,0.3009530791788856,0.2601535354749987,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125,
CTRL,CTRL-T2A,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.7296088713566679,4.212268634863613,-0.0394158491368209,0.6916890090782069,0.6595019291540141,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.631578947368421,
CTRL,CTRL-T2A,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7442160810089276,4.217341505244713,0.3506882206812709,0.5429531812725089,0.5332789556947701,3.2499946744976893,-2.2025840310641573,0.1868724198929815,2.72,
CTRL,CTRL-T2A,WR,2020,0,m_panel_ppr12,2014-2024,11,2012,50,190,0.7582867277839869,4.144543751890124,0.3404884279056207,0.4534453781512604,0.4559915488606808,3.645173513991341,-1.9335749275475465,0.2450619502202779,3.06,
