column,target,n,spearman_rho,p_raw,abs_rho,rank,position
wk1_injury_report_flag,abs_resid,313,0.019177744204397107,0.7353914238928592,0.019177744204397107,52,QB
n_train_seasons,abs_resid,313,-0.013287736876868676,0.814865550975687,0.013287736876868676,53,QB
proj_cpg,abs_resid,0,,,,54,QB
proj_tpg,abs_resid,0,,,,55,QB
proj_targets,abs_resid,0,,,,56,QB
proj_receptions,abs_resid,0,,,,57,QB
proj_rec_yards,abs_resid,0,,,,58,QB
proj_rec_tds,abs_resid,0,,,,59,QB
proj_ypc,abs_resid,0,,,,60,QB
proj_catch_rate,abs_resid,0,,,,61,QB
proj_ypr,abs_resid,0,,,,62,QB
proj_td_per_target,abs_resid,0,,,,63,QB
proj_points,abs_resid,524,0.3176277670606055,9.53580616990774e-14,0.3176277670606055,1,RB
proj_points_base,abs_resid,524,0.3171831363362831,1.0363892086260531e-13,0.3171831363362831,2,RB
proj_bonus_points,abs_resid,524,0.31427856590399467,1.7794941855616774e-13,0.31427856590399467,3,RB
proj_rush_tds,abs_resid,524,0.30975794502817383,4.07961207117492e-13,0.30975794502817383,4,RB
proj_carries,abs_resid,524,0.30971390731996856,4.1124318681134937e-13,0.30971390731996856,5,RB
proj_rush_yards,abs_resid,524,0.3092132286033849,4.5042379855047663e-13,0.3092132286033849,6,RB
ppg_w,abs_resid,475,0.30898590487087757,5.752353273023011e-12,0.30898590487087757,7,RB
proj_cpg,abs_resid,524,0.2841271881370295,3.461543620679285e-11,0.2841271881370295,8,RB
proj_rec_tds,abs_resid,524,0.2805404269194894,6.22309607456045e-11,0.2805404269194894,9,RB
proj_targets,abs_resid,524,0.27781734522404694,9.659809831458318e-11,0.27781734522404694,10,RB
proj_receptions,abs_resid,524,0.27754703042803697,1.008813294629147e-10,0.27754703042803697,11,RB
proj_rec_yards,abs_resid,524,0.2757253038700458,1.3497629253464844e-10,0.2757253038700458,12,RB
proj_tpg,abs_resid,524,0.2688784751930028,3.955420843857827e-10,0.2688784751930028,13,RB
pts_1,abs_resid,524,0.2595658678758452,1.6272602111940655e-09,0.2595658678758452,14,RB
rushtd_1,abs_resid,524,0.25207655524732264,4.87845049928934e-09,0.25207655524732264,15,RB
carries_1,abs_resid,524,0.2440200704101502,1.5288685564610084e-08,0.2440200704101502,16,RB
rushyds_1,abs_resid,524,0.24328925265485984,1.69244819706545e-08,0.24328925265485984,17,RB
depth_first_share_1,abs_resid,524,0.23228508352580055,7.519819274870115e-08,0.23228508352580055,18,RB
tgt_1,abs_resid,524,0.23143841397032688,8.408688952653336e-08,0.23143841397032688,19,RB
depth_chart_starter_wk1,abs_resid,524,0.22663602419656353,1.5719022668117907e-07,0.22663602419656353,20,RB
rec_1,abs_resid,524,0.22508061853912936,1.9193138875828232e-07,0.22508061853912936,21,RB
recyds_1,abs_resid,524,0.2226968101519008,2.599239473205695e-07,0.2226968101519008,22,RB
proj_fumbles_lost,abs_resid,524,0.2146062193804164,7.095940879137127e-07,0.2146062193804164,23,RB
proj_games,abs_resid,524,0.20984380813321854,1.2589145384072722e-06,0.20984380813321854,24,RB
gshare_w,abs_resid,475,0.20240264166058156,8.759105438392401e-06,0.20240264166058156,25,RB
rectd_1,abs_resid,524,0.1883289490484423,1.427145073890353e-05,0.1883289490484423,26,RB
unexp_missed_share_1,abs_resid,524,-0.18473169405901255,2.0878683813544047e-05,0.18473169405901255,27,RB
missed_wks_1,abs_resid,524,-0.17597042841636124,5.117944037194894e-05,0.17597042841636124,28,RB
gshare_1,abs_resid,524,0.17597042841636124,5.117944037194894e-05,0.17597042841636124,29,RB
games_1,abs_resid,524,0.17597042841636124,5.117944037194894e-05,0.17597042841636124,30,RB
evidence,abs_resid,524,0.17324326533477763,6.707451875644291e-05,0.17324326533477763,31,RB
average_pick,abs_resid,203,-0.16410884027016923,0.019302485787798848,0.16410884027016923,32,RB
chronic_missed_share,abs_resid,524,-0.15164241386339758,0.0004955933109703225,0.15164241386339758,33,RB
gshare_max3,abs_resid,524,0.1238059769825465,0.004536774629367472,0.1238059769825465,34,RB
att_1,abs_resid,524,0.11197299644748204,0.01031374150620624,0.11197299644748204,35,RB
passyds_1,abs_resid,524,0.10915400500816627,0.01241384054463748,0.10915400500816627,36,RB
proj_ypc,abs_resid,524,0.10351097270499503,0.017779152792475505,0.10351097270499503,37,RB
rostered_absent_share_1,abs_resid,524,-0.10101906267254791,0.020732053730908,0.10101906267254791,38,RB
offroster_share_1,abs_resid,524,-0.09686610098188107,0.026603456278679456,0.09686610098188107,39,RB
miss1_x_endgap,abs_resid,524,-0.09402314655541896,0.03140386932398248,0.09402314655541896,40,RB
