run,position,season,n_board_vet,n_vet,rho_points,rho_points_fullvet,coverage,n_ge350,universe,targets,S,first_feature_season
A2,RB,2024,46,112,0.4148755745288685,0.7802383281385193,1.0,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2018,29,120,0.4753694581280787,0.6284387434857461,0.9655172413793104,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2019,35,118,0.3991596638655462,0.7037298876601378,0.9714285714285714,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2020,45,119,0.4191040843214755,0.6691110106041043,0.9777777777777776,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2021,59,118,0.6334677665855811,0.5861286209394647,0.9661016949152542,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2022,37,123,0.3710289236605025,0.7096496485056131,1.0,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2023,52,128,0.3859813882011439,0.7584301327155478,0.9615384615384616,,m_panel_halfppr12,2018-2024,7,2012
A2k,RB,2024,46,112,0.4267785009275709,0.7839232054289281,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2018,29,120,0.4793103448275861,0.6299533578504436,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2019,35,118,0.4518207282913165,0.7004918383255987,0.9714285714285714,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2020,45,119,0.4345191040843214,0.6732703144917317,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2021,59,118,0.6504763585837731,0.6007366786222339,0.9830508474576272,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2022,37,123,0.3788525367472735,0.7083569494773453,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2023,52,128,0.3280969862545889,0.7464917220583199,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3,RB,2024,46,112,0.4257917298271603,0.7829503289480492,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2018,29,120,0.4532019704433496,0.6170861478540549,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2019,35,118,0.3991596638655462,0.6971834770626525,0.9714285714285714,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2020,45,119,0.414756258234519,0.6602805435724546,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2021,59,118,0.6488397930306825,0.5978275244210504,0.9830508474576272,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2022,37,123,0.3686581318160265,0.7078094153024649,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2023,52,128,0.3722359771194399,0.7338682968338405,1.0,,m_panel_halfppr12,2018-2024,7,2012
A3k,RB,2024,46,112,0.4223380309757233,0.7839059863761692,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2018,29,120,0.4399014778325122,0.617983697107209,0.9310344827586208,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2019,35,118,0.4030812324929972,0.6945967382228322,0.9714285714285714,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2020,45,119,0.4079051383399208,0.6566903699069725,0.9777777777777776,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2021,59,118,0.6486059979516695,0.5955522287548854,0.9661016949152542,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2022,37,123,0.3568041725936462,0.7077705371362012,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2023,52,128,0.3703577221890207,0.723090927816022,0.9615384615384616,,m_panel_halfppr12,2018-2024,7,2012
A4,RB,2024,46,112,0.4209195475188832,0.7839404244816869,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2018,11,89,0.2454545454545454,0.6171785252523424,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2019,10,90,0.6242424242424242,0.5605935978047445,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2020,16,85,0.3764705882352941,0.6334638464633578,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2021,17,90,0.375,0.6684314827538707,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2022,12,89,0.3496503496503497,0.7813911363950051,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2023,17,89,0.590686274509804,0.7632599157665725,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,TE,2024,16,86,0.2752024291772091,0.7419102014418765,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2018,40,186,0.6846474982905959,0.7290203369964261,0.95,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2019,49,185,0.5454081632653061,0.7453502654136475,0.979591836734694,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2020,50,190,0.4558463385354141,0.7591573719896422,0.98,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2021,58,197,0.4288109264238228,0.7112838971627621,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2022,39,193,0.735462321909551,0.7221170718950449,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2023,61,188,0.5855973770656804,0.7795176471232106,0.9672131147540984,,m_panel_halfppr12,2018-2024,7,2012
A4,WR,2024,54,190,0.4865730241597279,0.7965732379037095,0.9814814814814816,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2018,29,120,0.4596059113300492,0.6178048884669323,0.9310344827586208,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2019,35,118,0.4016806722689076,0.6978717938354801,0.9714285714285714,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2020,45,119,0.4163372859025032,0.6578894807523727,0.9777777777777776,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2021,59,118,0.6483137541029034,0.5941526104868097,0.9661016949152542,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2022,37,123,0.3710289236605025,0.709118313566676,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2023,52,128,0.3652352087424229,0.7250705038112151,0.9615384615384616,,m_panel_halfppr12,2018-2024,7,2012
A4k,RB,2024,46,112,0.4223380309757233,0.7824681954707994,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2018,11,89,0.2454545454545454,0.6170235828758164,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2019,10,90,0.6242424242424242,0.5623909322234977,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2020,16,85,0.3764705882352941,0.6319147953932591,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2021,17,90,0.375,0.6719657486239504,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2022,12,89,0.3496503496503497,0.7827150327468526,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2023,17,89,0.590686274509804,0.7628992880783418,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,TE,2024,16,86,0.2752024291772091,0.7434719183933073,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2018,40,186,0.6846474982905959,0.7296898536846372,0.95,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2019,49,185,0.5440816326530612,0.743886677748285,0.979591836734694,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2020,50,190,0.4534453781512604,0.758169576881697,0.98,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2021,58,197,0.4283187474551871,0.712997176006095,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2022,39,193,0.7384989128340331,0.7246795612422234,1.0,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2023,61,188,0.5869458877547284,0.7780306999770846,0.9672131147540984,,m_panel_halfppr12,2018-2024,7,2012
A4k,WR,2024,54,190,0.486229964448217,0.7959340263632103,0.9814814814814816,,m_panel_halfppr12,2018-2024,7,2012
A5,QB,2021,19,73,0.1771929824561403,0.6808763631203428,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,QB,2022,14,77,0.5032967032967033,0.7286832697445187,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,QB,2023,23,79,0.1037549407114624,0.6101944073362443,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,QB,2024,21,85,0.4623376623376624,0.7154555323726384,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,RB,2021,59,118,0.6501841147350068,0.5579284308058907,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,RB,2022,37,123,0.284257942152679,0.711595649387204,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,RB,2023,52,128,0.353453427815248,0.7297767733652224,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,RB,2024,46,112,0.3623300134320057,0.7799439386574336,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,TE,2021,17,90,0.3823529411764707,0.6753924138937702,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,TE,2022,12,89,0.2307692307692307,0.7930225114862371,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,TE,2023,17,89,0.5465686274509804,0.7774617775840355,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,TE,2024,16,86,0.1677704648459991,0.7189103699753489,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,WR,2021,58,197,0.3928511005278796,0.7095798105987219,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,WR,2022,39,193,0.7319196324976553,0.7182845255276084,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,WR,2023,61,188,0.5858882323123379,0.7806079531744264,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5,WR,2024,54,190,0.4736511083594813,0.8003502364814107,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,QB,2021,19,73,0.1543859649122806,0.6727087147920827,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,QB,2022,14,77,0.4989010989010989,0.7340308466058544,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,QB,2023,23,79,0.0879446640316205,0.6125077073680898,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,QB,2024,21,85,0.4493506493506493,0.7160765361826666,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,RB,2021,59,118,0.6505932561232796,0.5606140906589254,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,RB,2022,37,123,0.2963489805595068,0.7110902340406381,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,RB,2023,52,128,0.3508067958678391,0.7300699426707156,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,RB,2024,46,112,0.3587529681930174,0.7799482434114305,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,TE,2021,17,90,0.3725490196078431,0.6754255217707733,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,TE,2022,12,89,0.2447552447552448,0.7939853451966717,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,TE,2023,17,89,0.5441176470588236,0.7706441970017708,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,TE,2024,16,86,0.1692421355902623,0.7329374276845645,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,WR,2021,58,197,0.3893443253763505,0.703296696018686,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,WR,2022,39,193,0.7097525187489364,0.7188592951994514,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,WR,2023,61,188,0.5829796798457633,0.778648509608788,1.0,,m_panel_halfppr12,2021-2024,4,2018
A5k,WR,2024,54,190,0.4897367970547736,0.7976397676563657,1.0,,m_panel_halfppr12,2021-2024,4,2018
B1,RB,2018,29,120,0.4546798029556649,0.6172474262354811,,0.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2019,35,118,0.4056022408963586,0.7013355814664843,,0.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2020,45,119,0.4155467720685112,0.6602948613138923,,0.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2021,59,118,0.6445145840689429,0.5966514054052067,,1.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2022,37,123,0.3632053105737315,0.7083407502414021,,0.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2023,52,128,0.3718944762230001,0.7336418937141556,,0.0,m_panel_halfppr12,2018-2024,7,2012
B1,RB,2024,46,112,0.4219679918130694,0.7838801577970307,,0.0,m_panel_halfppr12,2018-2024,7,2012
