position,population,predictor,label,proxy,r_2022,r_2023,r_mean,base_mean,delta,n_2022,n_2023
TE,U,fdpt,1D per target,False,0.3086346527790967,0.27925998650329636,0.2939473196411965,0.580476685814731,-0.28652936617353447,98,95
RB,S,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.4930769230769231,0.7067853170189099,0.5999311200479165,0.5999311200479165,0.0,25,30
RB,S,tshare,target share,False,-0.02692307692307692,0.09721913236929922,0.035148027723111146,0.5999311200479165,-0.5647830923248054,25,30
RB,S,tpg,targets per game,False,0.19846153846153847,0.2936922923947275,0.24607691542813298,0.5999311200479165,-0.3538542046197835,25,30
RB,S,first_read_share,first-read target share  [PROXY],True,0.18244809101337445,0.23695628136392785,0.20970218618865116,0.5999311200479165,-0.3902289338592653,25,30
RB,S,catchable_share,catchable target share  [PROXY],True,-0.011538461538461539,-0.012235817575083427,-0.011887139556772484,0.5999311200479165,-0.6118182596046889,25,30
RB,S,catchable_rate,catchable rate  [PROXY],True,0.06194690724026582,-0.0847702753048418,-0.01141168403228799,0.5999311200479165,-0.6113428040802045,25,30
RB,S,fd_pg,1D per game,False,0.06976311686039202,0.28062378201488897,0.17519344943764048,0.5999311200479165,-0.424737670610276,25,30
RB,S,fdpt,1D per target,False,-0.08847855520469124,0.21648681856065893,0.06400413167798386,0.5999311200479165,-0.5359269883699327,25,30
RB,U,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.5507524396619328,0.6744034896736486,0.6125779646677907,0.6125779646677907,0.0,134,122
RB,U,tshare,target share,False,0.505989785411348,0.635508890167846,0.5707493377895969,0.6125779646677907,-0.041828626878193775,134,122
RB,U,tpg,targets per game,False,0.40441849846268985,0.5874500931287393,0.4959342957957146,0.6125779646677907,-0.11664366887207611,134,122
RB,U,first_read_share,first-read target share  [PROXY],True,0.5008625650181934,0.5899564885744448,0.545409526796319,0.6125779646677907,-0.06716843787147164,134,122
RB,U,catchable_share,catchable target share  [PROXY],True,0.5092362815136355,0.6323447546255835,0.5707905180696096,0.6125779646677907,-0.04178744659818112,134,122
RB,U,catchable_rate,catchable rate  [PROXY],True,0.06262190884536992,0.11468734245501708,0.0886546256501935,0.6125779646677907,-0.5239233390175972,134,122
RB,U,tprr,TPRR  [PROXY routes],True,0.09735488510637025,0.28603866783440296,0.1916967764703866,0.6125779646677907,-0.42088118819740405,134,122
RB,U,yprr,YPRR  [PROXY routes],True,0.13106293045328132,0.32445943424123586,0.2277611823472586,0.6125779646677907,-0.38481678232053207,134,122
RB,U,fdrr,1D per route run  [PROXY routes],True,0.14897262035969705,0.3665882654208418,0.2577804428902694,0.6125779646677907,-0.3547975217775213,134,122
RB,U,fd_pg,1D per game,False,0.38540899197640405,0.5449054574631262,0.46515722471976517,0.6125779646677907,-0.14742073994802551,134,122
RB,U,fdpt,1D per target,False,0.14573359861631696,0.2657333065805105,0.20573345259841372,0.6125779646677907,-0.406844512069377,134,122
