column,target,n,spearman_rho,p_raw,abs_rho,rank,position
proj_td_per_att,signed_resid,0,,,,62,RB
proj_td_per_target,signed_resid,0,,,,63,RB
proj_targets,signed_resid,390,-0.4443899590084756,2.6257202451269363e-20,0.4443899590084756,1,TE
proj_rec_tds,signed_resid,390,-0.4442768747558522,2.6909527874061196e-20,0.4442768747558522,2,TE
proj_receptions,signed_resid,390,-0.4437031592988938,3.0472958236266515e-20,0.4437031592988938,3,TE
proj_points_base,signed_resid,390,-0.4415753951323601,4.823109448951568e-20,0.4415753951323601,4,TE
proj_points,signed_resid,390,-0.44129460632620415,5.1231594723529184e-20,0.44129460632620415,5,TE
proj_rec_yards,signed_resid,390,-0.43118378173565913,4.33816605621367e-19,0.43118378173565913,6,TE
proj_games,signed_resid,390,-0.42759057512546994,9.111722204123915e-19,0.42759057512546994,7,TE
proj_fumbles_lost,signed_resid,390,-0.39082018855332473,1.1078820683215322e-15,0.39082018855332473,8,TE
proj_bonus_points,signed_resid,390,-0.386144690795488,2.570541510489399e-15,0.386144690795488,9,TE
tgt_1,signed_resid,390,-0.3604760913637764,2.0675672184263118e-13,0.3604760913637764,10,TE
rec_1,signed_resid,390,-0.35781201902830273,3.1890599273574814e-13,0.35781201902830273,11,TE
unexp_missed_share_1,signed_resid,390,0.35075570537041495,9.856315524108765e-13,0.35075570537041495,12,TE
games_1,signed_resid,390,-0.3503188018124117,1.0559839424563202e-12,0.3503188018124117,13,TE
gshare_1,signed_resid,390,-0.3503188018124117,1.0559839424563202e-12,0.3503188018124117,14,TE
missed_wks_1,signed_resid,390,0.3503188018124117,1.0559839424563202e-12,0.3503188018124117,15,TE
pts_1,signed_resid,390,-0.34686293879825025,1.8149835870577264e-12,0.34686293879825025,16,TE
recyds_1,signed_resid,390,-0.33927565054078374,5.82411693973717e-12,0.33927565054078374,17,TE
evidence,signed_resid,390,-0.32608819769820263,4.1024862710461744e-11,0.32608819769820263,18,TE
gshare_w,signed_resid,354,-0.31536515567486445,1.2942165276988211e-09,0.31536515567486445,19,TE
rectd_1,signed_resid,390,-0.29500873852816356,2.8508197661862866e-09,0.29500873852816356,20,TE
proj_tpg,signed_resid,390,-0.2937828597357322,3.3363134335663017e-09,0.2937828597357322,21,TE
late4_share_1,signed_resid,390,-0.2506136990533651,5.342940988650411e-07,0.2506136990533651,22,TE
proj_carries,signed_resid,390,-0.24454829254950528,1.0168001238294963e-06,0.24454829254950528,23,TE
chronic_missed_share,signed_resid,390,0.23820199811406112,1.9584265864804983e-06,0.23820199811406112,24,TE
proj_rush_tds,signed_resid,390,-0.23231045158704106,3.5414738509874063e-06,0.23231045158704106,25,TE
offroster_share_1,signed_resid,390,0.2315626901153736,3.813815494376283e-06,0.2315626901153736,26,TE
proj_rush_yards,signed_resid,390,-0.23104364338371616,4.014493961632123e-06,0.23104364338371616,27,TE
