span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2002,raw,QB,2023,21,23,79,0.05533596837944664,-0.024155017062335315,4.672273477622528,0.6061830466427252
2002,raw,QB,2024,22,21,85,0.45974025974025967,-0.06966886146647572,4.805331836990283,0.7080785564557167
2002,raw,RB,2018,16,29,120,0.48522167487684714,0.4344533040481767,3.42735299849278,0.6388274917129895
2002,raw,RB,2019,17,35,118,0.42016806722689076,0.14553081013705824,3.78827177171491,0.7132189168151755
2002,raw,RB,2020,18,45,119,0.4263504611330698,-0.08109041506170041,4.476791233841427,0.6650805663894154
2002,raw,RB,2021,19,59,118,0.6490151393399421,0.26610655218011664,4.1076137008269535,0.5929189514013637
2002,raw,RB,2022,20,37,123,0.33617828354670454,0.06552300403260623,4.687294963784117,0.7036332522763061
2002,raw,RB,2023,21,52,128,0.38657901476991374,0.28056372502535526,4.084114010181734,0.7381293196504731
2002,raw,RB,2024,22,46,112,0.42276974333215306,0.27040175739667077,3.8376020507921993,0.7809529188280145
2002,raw,WR,2018,16,40,186,0.5883953287583746,0.2632921890158774,4.003102012861904,0.7318495393729805
2002,raw,WR,2019,17,49,185,0.5251020408163265,0.19631197460165775,3.253895964290282,0.7300540486173063
2002,raw,WR,2020,18,50,190,0.3890036014405762,0.2160718942492509,3.655580755887625,0.7538081702908749
2002,raw,WR,2021,19,58,197,0.37236415095842,0.04666922119122671,4.098553941667422,0.7108099051596285
2002,raw,WR,2022,20,39,193,0.6861683292354591,0.45997232122263504,3.4579103666042377,0.7129468103462092
2002,raw,WR,2023,21,61,188,0.6052962096802075,0.16389804449802875,4.340231268797032,0.7852656191095464
2002,raw,WR,2024,22,54,190,0.5187444015503123,0.22319665792773735,3.4556149081138043,0.7924960515851649
2002,raw,TE,2018,16,11,89,0.17272727272727276,0.0,3.071208827590196,0.5907178105056138
2002,raw,TE,2019,17,10,90,0.5757575757575757,-0.07951404970357048,4.143636633893536,0.5634726612718215
2002,raw,TE,2020,18,16,85,0.34411764705882353,-0.10638569678095326,3.6267285334199,0.6015808459572778
2002,raw,TE,2021,19,17,90,0.4926470588235295,0.22902584907144607,3.773109555487183,0.6732652327963218
2002,raw,TE,2022,20,12,89,0.3216783216783217,0.25254909728539365,2.661496070360046,0.7522912068430314
2002,raw,TE,2023,21,17,89,0.5759803921568628,0.2577851705992767,3.4789033568256427,0.7660934190312416
2002,raw,TE,2024,22,16,86,0.29874916108541955,0.06250442932568502,2.9900178875135865,0.7392126903439503
2012,raw,QB,2018,6,19,65,-0.08421052631578947,0.2795287117715233,4.226738632264696,0.6149548716823983
2012,raw,QB,2019,7,19,72,0.3578947368421052,-0.033566436406348564,3.81754973117666,0.6761919335821783
2012,raw,QB,2020,8,19,73,0.39473684210526316,0.009785878909547662,3.8065126490774017,0.7568731458199719
