ecr_rank,player,pos,pos_rank,team,tier,bye,rank_min,rank_max,rank_std,rank_ave,ecr_delta,eligibility
884,Dominic Richardson,RB,RB221,FA,15,,604,856,108.48,754.33,-44,RB
885,Kevin Harris,RB,RB222,FA,15,,465,924,206.19,755.33,,RB
886,Curtis Hodges,TE,TE197,FA,15,,552,944,160.40,755.67,,TE
887,Kenny Yeboah,TE,TE198,FA,15,,562,908,144.25,755.67,,TE
888,AJ Henning,WR,WR287,MIA,15,6,474,947,204.45,758.00,,WR
889,EJ Smith,RB,RB223,FA,15,,617,865,104.28,758.67,-46,RB
890,Ainias Smith,WR,WR288,FA,15,,628,933,128.29,758.67,77,WR
891,Dontrell Hilliard,RB,RB224,FA,15,,453,871,209.00,662.00,,RB
892,Luke Lachey,TE,TE199,FA,15,,565,909,144.16,760.00,,TE
893,Gerald Everett,TE,TE200,FA,15,,555,946,160.23,760.33,,TE
894,Dalevon Campbell,WR,WR289,LAC,15,7,607,924,129.62,760.33,,WR
895,Chris Collier,RB,RB225,LV,15,13,609,861,108.94,760.33,,RB
896,Ahmani Marshall,RB,RB226,CAR,15,5,499,833,167.00,666.00,-74,RB
897,Nick Nash,WR,WR290,FA,15,,667,931,119.40,762.67,,WR
