overall_rank,player,position,projected_points,vbd,vbd_lo95,vbd_hi95,consensus_rank,delta_vs_consensus
270,Lil'Jordan Humphrey,WR,77.17,-46.27,nan,nan,328,58
271,Kaleb Johnson,RB,88.11,-46.38,nan,nan,237,-34
272,Tutu Atwell,WR,76.85,-46.59,nan,nan,329,57
273,Darren Waller,TE,60.58,-46.71,nan,nan,359,86
274,Diontae Johnson,WR,76.52,-46.92,nan,nan,331,57
275,George Holani,RB,87.39,-47.1,nan,nan,240,-35
276,Daniel Jones,QB,198.12,-47.19,nan,nan,147,-129
277,John Metchie III,WR,76.2,-47.24,nan,nan,337,60
278,Durham Smythe,TE,59.99,-47.3,nan,nan,361,83
279,Dyami Brown,WR,75.88,-47.56,nan,nan,338,59
280,Jordan James,RB,86.68,-47.81,nan,nan,241,-39
281,Greg Dortch,WR,75.57,-47.87,nan,nan,341,60
282,Josh Oliver,TE,59.41,-47.88,nan,nan,373,91
283,Jaylin Lane,WR,75.25,-48.19,nan,nan,342,59
284,Will Dissly,TE,58.84,-48.45,nan,nan,374,90
285,Mitch Tinsley,WR,74.94,-48.5,nan,nan,346,61
286,Samaje Perine,RB,85.98,-48.51,nan,nan,244,-42
287,Jahdae Walker,WR,74.63,-48.81,nan,nan,347,60
288,Austin Hooper,TE,58.28,-49.01,nan,nan,375,87
289,Jacoby Brissett,QB,196.25,-49.05,nan,nan,170,-119
290,Savion Williams,WR,74.33,-49.11,nan,nan,350,60
291,Malik Davis,RB,85.29,-49.2,nan,nan,253,-38
292,Xavier Smith,WR,74.02,-49.42,nan,nan,353,61
293,Zach Ertz,TE,57.73,-49.56,nan,nan,378,85
294,Michael Woods II,WR,73.72,-49.72,nan,nan,358,64
295,Brashard Smith,RB,84.61,-49.88,nan,nan,255,-40
296,Theo Wease Jr.,WR,73.42,-50.02,nan,nan,362,66
297,Daniel Bellinger,TE,57.19,-50.1,nan,nan,380,83
298,Scotty Miller,WR,73.12,-50.32,nan,nan,365,67
299,Kyle Juszczyk,RB,83.94,-50.55,nan,nan,257,-42
300,Jordan Whittington,WR,72.83,-50.61,nan,nan,368,68
301,Charlie Kolar,TE,56.66,-50.63,nan,nan,381,80
302,Aaron Rodgers,QB,194.46,-50.84,nan,nan,195,-107
303,Derius Davis,WR,72.54,-50.9,nan,nan,376,73
304,Luke Musgrave,TE,56.14,-51.15,nan,nan,382,78
305,Jermaine Burton,WR,72.24,-51.2,nan,nan,379,74
306,Najee Harris,RB,83.28,-51.21,nan,nan,258,-48
307,Tai Felton,WR,71.96,-51.48,nan,nan,385,78
308,Adam Trautman,TE,55.63,-51.66,nan,nan,387,79
309,Mecole Hardman Jr.,WR,71.67,-51.77,nan,nan,391,82
310,Jerome Ford,RB,82.63,-51.86,nan,nan,259,-51
311,Demarcus Robinson,WR,71.38,-52.06,nan,nan,395,84
312,Ben Sinnott,TE,55.13,-52.17,nan,nan,388,76
313,Anthony Gould,WR,71.1,-52.34,nan,nan,400,87
314,Kendre Miller,RB,81.98,-52.51,nan,nan,260,-54
315,Geno Smith,QB,192.73,-52.58,nan,nan,203,-112
316,Gabe Davis,WR,70.82,-52.62,nan,nan,401,85
317,Cade Stover,TE,54.63,-52.66,nan,nan,392,75
318,Skyy Moore,WR,70.54,-52.9,nan,nan,402,84
319,Jaleel McLaughlin,RB,81.35,-53.14,nan,nan,266,-53
320,Luke Schoonmaker,TE,54.14,-53.15,nan,nan,394,74
321,Elijah Higgins,TE,53.66,-53.63,nan,nan,397,76
322,Emari Demercado,RB,80.72,-53.77,nan,nan,267,-55
323,Mo Alie-Cox,TE,53.19,-54.1,nan,nan,398,75
324,Tua Tagovailoa,QB,191.05,-54.25,nan,nan,245,-79
325,Joe Mixon,RB,80.1,-54.39,nan,nan,275,-50
326,Mitchell Evans,TE,52.73,-54.56,nan,nan,403,77
327,Devin Singletary,RB,79.48,-55.01,nan,nan,276,-51
328,Tyler Conklin,TE,52.27,-55.02,nan,nan,404,76
329,Jared Wiley,TE,51.82,-55.47,nan,nan,405,76
330,Isaac Guerendo,RB,78.88,-55.61,nan,nan,279,-51
331,Michael Penix Jr.,QB,189.43,-55.87,nan,nan,256,-75
332,Thomas Fidone II,TE,51.37,-55.92,nan,nan,408,76
333,Tahj Brooks,RB,78.28,-56.21,nan,nan,282,-51
334,Jeremy McNichols,RB,77.69,-56.8,nan,nan,287,-47
335,Bam Knight,RB,77.1,-57.39,nan,nan,294,-41
336,Deshaun Watson,QB,187.86,-57.44,nan,nan,268,-68
337,Rasheen Ali,RB,76.52,-57.97,nan,nan,295,-42
338,Trevor Etienne,RB,75.95,-58.54,nan,nan,296,-42
339,Shedeur Sanders,QB,186.34,-58.96,nan,nan,270,-69
340,Audric Estime,RB,75.38,-59.1,nan,nan,298,-42
341,Jarquez Hunter,RB,74.82,-59.66,nan,nan,301,-40
342,Sione Vaki,RB,74.27,-60.22,nan,nan,302,-40
343,Kirk Cousins,QB,184.87,-60.43,nan,nan,284,-59
344,Will Shipley,RB,73.72,-60.76,nan,nan,312,-32
345,Kareem Hunt,RB,73.18,-61.31,nan,nan,319,-26
346,Hunter Luepke,RB,72.65,-61.84,nan,nan,332,-14
347,J.J. McCarthy,QB,183.44,-61.86,nan,nan,310,-37
348,Nick Chubb,RB,72.12,-62.37,nan,nan,333,-15
349,Raheim Sanders,RB,71.59,-62.9,nan,nan,334,-15
350,Mac Jones,QB,182.05,-63.26,nan,nan,340,-10
351,Jawhar Jordan,RB,71.07,-63.41,nan,nan,335,-16
352,Phil Mafah,RB,70.56,-63.93,nan,nan,336,-16
353,Michael Carter,RB,70.05,-64.44,nan,nan,344,-9
354,Joe Milton III,QB,180.69,-64.61,nan,nan,345,-9
355,Zavier Scott,RB,69.55,-64.94,nan,nan,349,-6
356,Dylan Laube,RB,69.05,-65.44,nan,nan,352,-4
357,Anthony Richardson Sr.,QB,179.38,-65.93,nan,nan,348,-9
358,Dameon Pierce,RB,68.55,-65.93,nan,nan,354,-4
359,Antonio Gibson,RB,68.07,-66.42,nan,nan,360,1
360,Terrell Jennings,RB,67.58,-66.91,nan,nan,363,3
361,Justin Fields,QB,178.09,-67.21,nan,nan,351,-10
362,Jacob Saylors,RB,67.1,-67.39,nan,nan,364,2
363,Austin Ekeler,RB,66.63,-67.86,nan,nan,366,3
364,Ronnie Rivers,RB,66.15,-68.33,nan,nan,367,3
365,Riley Leonard,QB,176.84,-68.46,nan,nan,369,4
366,Elijah Mitchell,RB,65.69,-68.8,nan,nan,370,4
367,Roschon Johnson,RB,65.23,-69.26,nan,nan,377,10
368,Marcus Mariota,QB,175.63,-69.68,nan,nan,371,3
369,Damien Martinez,RB,64.77,-69.72,nan,nan,384,15
370,Frank Gore Jr.,RB,64.31,-70.17,nan,nan,389,19
371,Jaret Patterson,RB,63.86,-70.62,nan,nan,390,19
372,Gardner Minshew II,QB,174.44,-70.87,nan,nan,372,0
373,Donovan Edwards,RB,63.42,-71.07,nan,nan,396,23
374,Tyler Badie,RB,62.98,-71.51,nan,nan,399,25
375,Miles Sanders,RB,62.54,-71.95,nan,nan,406,31
376,Jameis Winston,QB,173.27,-72.03,nan,nan,383,7
377,Joe Flacco,QB,172.14,-73.16,nan,nan,386,9
378,Quinn Ewers,QB,171.03,-74.27,nan,nan,393,15
