"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"73",6,"Trevor Lawrence",JAC,"QB9","7","","","4 out of 5 stars","+14"
"74",6,"Rhamondre Stevenson",NE,"RB29","11","","","2 out of 5 stars","0"
"75",6,"Alec Pierce",IND,"WR32","13","","","4 out of 5 stars","+6"
"76",6,"Dak Prescott",DAL,"QB10","14","","","2 out of 5 stars","+6"
"77",6,"DK Metcalf",PIT,"WR33","9","","","3 out of 5 stars","+8"
"78",6,"Brian Thomas Jr.",JAC,"WR34","7","","","4 out of 5 stars","-7"
"79",6,"Harold Fannin Jr.",CLE,"TE6","11","","","3 out of 5 stars","-14"
"80",6,"Chuba Hubbard",CAR,"RB30","5","","","1 out of 5 stars","-8"
"81",6,"Sam LaPorta",DET,"TE7","6","","","3 out of 5 stars","-3"
"82",6,"Kyle Pitts Sr.",ATL,"TE8","11","","","3 out of 5 stars","-12"
"83",6,"Parker Washington",JAC,"WR35","7","","","4 out of 5 stars","+8"
"84",6,"Courtland Sutton",DEN,"WR36","10","","","2 out of 5 stars","+4"
"85",6,"Rico Dowdle",PIT,"RB31","9","","","2 out of 5 stars","-8"
"86",6,"Chris Godwin Jr.",TB,"WR37","10","","","4 out of 5 stars","+4"
"87",6,"Jordyn Tyson",NO,"WR38","8","","","3 out of 5 stars","-1"
"88",6,"Jaxson Dart",NYG,"QB11","8","","","4 out of 5 stars","-5"
"89",6,"RJ Harvey",DEN,"RB32","10","","","2 out of 5 stars","-16"
"90",6,"J.K. Dobbins",DEN,"RB33","10","","","2 out of 5 stars","+2"
"91",6,"Brock Purdy",SF,"QB12","8","","","1 out of 5 stars","+9"
"92",6,"Michael Wilson",ARI,"WR39","14","","","2 out of 5 stars","-3"
"93",6,"Kyle Monangai",CHI,"RB34","10","","","2 out of 5 stars","-9"
"94",6,"Michael Pittman Jr.",PIT,"WR40","9","","","3 out of 5 stars","+13"
"95",6,"Quentin Johnston",LAC,"WR41","7","","","2 out of 5 stars","+15"
"96",6,"Blake Corum",LAR,"RB35","11","","","5 out of 5 stars","-2"
"97",7,"Patrick Mahomes II",KC,"QB13","5","","","2 out of 5 stars","-1"
"98",7,"Makai Lemon",PHI,"WR42","10","","","4 out of 5 stars","-5"
"99",7,"Bo Nix",DEN,"QB14","10","","","3 out of 5 stars","+3"
"100",7,"Wan'Dale Robinson",TEN,"WR43","9","","","3 out of 5 stars","+17"
"101",7,"Jakobi Meyers",JAC,"WR44","7","","","4 out of 5 stars","+5"
"102",7,"Kenny Gainwell",TB,"RB36","10","","","2 out of 5 stars","+2"
"103",7,"Travis Kelce",KC,"TE9","5","","","4 out of 5 stars","-6"
"104",7,"Matthew Stafford",LAR,"QB15","11","","","3 out of 5 stars","+1"
"105",7,"George Kittle",SF,"TE10","8","","","3 out of 5 stars","-10"
"106",7,"Jordan Addison",MIN,"WR45","6","","","5 out of 5 stars","+5"
"107",7,"Josh Downs",IND,"WR46","13","","","4 out of 5 stars","+13"
"108",7,"Ricky Pearsall",SF,"WR47","8","","","2 out of 5 stars","-10"
"109",7,"Rachaad White",WAS,"RB37","7","","","4 out of 5 stars","+3"
"110",7,"Aaron Jones Sr.",MIN,"RB38","6","","","4 out of 5 stars","+3"
"111",7,"Jared Goff",DET,"QB16","6","","","5 out of 5 stars","+3"
"112",7,"Dalton Kincaid",BUF,"TE11","7","","","3 out of 5 stars","-13"
"113",7,"Jayden Reed",GB,"WR48","11","","","5 out of 5 stars","+5"
"114",7,"Kyler Murray",MIN,"QB17","6","","","5 out of 5 stars","+8"
"115",7,"Jake Ferguson",DAL,"TE12","14","","","2 out of 5 stars","-7"
"116",7,"Jonathon Brooks",CAR,"RB39","5","","","1 out of 5 stars","-15"
"117",7,"Jacory Croskey-Merritt",WAS,"RB40","7","","","4 out of 5 stars","-8"
"118",7,"Jordan Mason",MIN,"RB41","6","","","4 out of 5 stars","-2"
"119",7,"Dallas Goedert",PHI,"TE13","10","","","4 out of 5 stars","0"
"120",7,"Baker Mayfield",TB,"QB18","10","","","2 out of 5 stars","+7"
"121",7,"Xavier Worthy",KC,"WR49","5","","","2 out of 5 stars","0"
"122",7,"Jordan Love",GB,"QB19","11","","","4 out of 5 stars","+3"
"123",7,"Tyler Shough",NO,"QB20","8","","","3 out of 5 stars","+10"
"124",7,"Jayden Higgins",HOU,"WR50","8","","","3 out of 5 stars","+27"
"125",7,"Mark Andrews",BAL,"TE14","13","","","4 out of 5 stars","-10"
"126",7,"Isaiah Likely",NYG,"TE15","8","","","3 out of 5 stars","-23"
"127",7,"Tyrone Tracy Jr.",NYG,"RB42","8","","","4 out of 5 stars","+5"
"128",7,"Khalil Shakir",BUF,"WR51","7","","","4 out of 5 stars","+17"
"129",7,"Romeo Doubs",NE,"WR52","11","","","2 out of 5 stars","-1"
"130",7,"Chris Rodriguez Jr.",JAC,"RB43","7","","","4 out of 5 stars","+18"
"131",7,"Jalen Coker",CAR,"WR53","5","","","2 out of 5 stars","+25"
"132",7,"Tyler Allgeier",ARI,"RB44","14","","","2 out of 5 stars","-1"
"133",8,"KC Concepcion",CLE,"WR54","11","","","3 out of 5 stars","+1"
"134",8,"Malik Willis",MIA,"QB21","6","","","3 out of 5 stars","-8"
"135",8,"Woody Marks",HOU,"RB45","8","","","4 out of 5 stars","+2"
"136",8,"Matthew Golden",GB,"WR55","11","","","5 out of 5 stars","+6"
"137",8,"Isiah Pacheco",DET,"RB46","6","","","5 out of 5 stars","+9"
"138",8,"Alvin Kamara",NO,"RB47","8","","","3 out of 5 stars","+5"
"139",8,"Tyjae Spears",TEN,"RB48","9","","","3 out of 5 stars","+10"
