batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage
C3,C3D,RB,2024,0,m_panel_ppr12,2015-2024,10,2013,51,112,0.4820471052615023,0.4413933341911387,3.876040515632324,-2.7514328180704086,0.324079656635792,3.07843137254902,0.7832645766608994,4.355072705670133,-0.4108353656181261,1.0
C3,C3D,WR,2015,0,m_panel_ppr12,2015-2024,10,2013,17,181,0.4313725490196078,0.3496245935264093,4.01244471549805,-3.096566770202552,-0.0479422483939531,3.235294117647059,0.7646366659743503,3.921011141437455,0.492440033269825,1.0
C3,C3D,WR,2016,0,m_panel_ppr12,2015-2024,10,2013,24,188,0.6826086956521739,0.6739995291793843,2.929237398374854,-1.5695012883513293,0.699392218164798,1.875,0.686180437898102,4.529830590040523,-0.0773492353820826,1.0
C3,C3D,WR,2017,0,m_panel_ppr12,2015-2024,10,2013,32,193,0.3090175953079178,0.2691008878852921,3.904455814445887,-1.8017886963051983,-0.0604800010688025,3.53125,0.7180608865906125,4.280654016893632,0.3850078422722651,1.0
C3,C3D,WR,2018,0,m_panel_ppr12,2015-2024,10,2013,38,186,0.6745089466790173,0.6457387710830685,3.9362327551774174,-2.7616660929362875,0.2620542049455071,3.631578947368421,0.7236359766063891,4.225338608223751,-0.0876744123587852,1.0
C3,C3D,WR,2019,0,m_panel_ppr12,2015-2024,10,2013,50,185,0.5413205282112845,0.5323575921420842,3.241844684393883,-2.200295785213367,0.1883969054236874,2.72,0.7451850836036459,4.19762024416263,0.301739125600704,1.0
C3,C3D,WR,2020,0,m_panel_ppr12,2015-2024,10,2013,50,190,0.4442256902761105,0.4532614228928365,3.649478188885989,-1.935904505000868,0.2356611001515748,3.06,0.7549878648763204,4.124723010184426,0.2890698566683377,1.0
C3,C3D,WR,2021,0,m_panel_ppr12,2015-2024,10,2013,55,197,0.3929724562770647,0.3689995291014217,4.258620150316722,-1.7711105422067526,0.0380359136909003,3.690909090909091,0.7125526709421334,4.399541086032768,-0.407549840833186,1.0
C3,C3D,WR,2022,0,m_panel_ppr12,2015-2024,10,2013,48,193,0.7377534130325681,0.7230001203934692,3.5768444111370488,-2.695479792369452,0.388425524582647,2.4166666666666665,0.7254377887961833,4.4192354884122205,-0.2694432683408314,1.0
C3,C3D,WR,2023,0,m_panel_ppr12,2015-2024,10,2013,62,188,0.5776809660371542,0.5865894960438464,4.300773829449365,-3.745533559865468,0.18419309755466,3.0806451612903225,0.7792791141145203,4.338755745605332,-0.570419820616742,1.0
C3,C3D,WR,2024,0,m_panel_ppr12,2015-2024,10,2013,58,190,0.4576033960890091,0.4658714145645904,3.3685711714410305,-1.7577670421899367,0.1690086417432172,2.8793103448275863,0.796034675694173,4.03832616453716,0.0585542659843932,1.0
C3,C3D,TE,2015,0,m_panel_ppr12,2015-2024,10,2013,6,79,,,,,,,0.5740717709592239,3.8702726589440575,-0.8204653694104309,1.0
C3,C3D,TE,2016,0,m_panel_ppr12,2015-2024,10,2013,5,85,,,,,,,0.6581396793729587,4.204754730686896,0.3518875688641081,1.0
C3,C3D,TE,2017,0,m_panel_ppr12,2015-2024,10,2013,7,92,,,,,,,0.6130598152311107,4.465365920750142,-0.8943423266197277,1.0
